filenameNumber,labile,moleculeID,smiles,maxWidth,maxWidthIntensity,maxWidthShift,labileProtonType,labileProtonNumber,heteroatomsList,rangesPeaksRatio,solvent,solventShift,containsAromaticSystem,singletFit
219,1,dclD`IT@aJYe[qav`dFH@@,C=1(SC=2(C=CC=CC=2(C=1)))(C(=O)O),0.005052167243690064,0.2962276702202731,8.003762818287774,["OH"],1,["O"],0.1388888888888889,DMSO,2.5,1,29.457781510137533
223,1,dmLH`E@HRfUWrnf`Pb`@@,S1(C=2(C=CC=CC=2(C(=C1)CO))),0.008841292676470047,0.5794240962468945,4.923015381942229,["OH"],1,["O"],0.2222222222222222,CDCl3,7.26,1,7.818636879822647
228,1,foAQ@@F\@eLk{JtYYuUUP@QBE@@,N1(CC(CN)OCC1)(CC2(=CC=CC=C2)),0.017051064447471953,0.17095201748534486,1.1899772471361516,["NH2"],2,["N"],0.14035087719298245,CDCl3,7.26,1,1.9177376508846569
229,1,deUD@BXDrJZJHlKTuR@@,N1(N=C(C)C=C1(C(=O)O))(C),0.00505216724369717,0.2324453874481247,6.589903811449329,["OH"],1,["O"],0.5,DMSO,2.5,1,0.3504920350216102
232,1,dieH@LhLbTTQkjfjP@,N1(N=C(C)C=C1(CO))(C),0.005683688149159316,0.23165351561253145,5.922126204852326,["OH"],1,["O"],1,CDCl3,7.26,1,0.44091011137543845
234,1,deUD@BXDR[eUnZZZ`@,N1(C(=CC(=N1)C(O)=O)C)(C),0.00505216724369717,0.24505119284169488,6.58362099073685,["OH"],1,["O"],0.5,DMSO,2.5,1,0.3732681609874246
238,1,dig@@@`\dTTQrijjP@,N1(C(=CC(=N1)CN)C)(C),0.0069467299600836085,0.17089417401714338,5.814462782450766,["NH2"],2,["N"],1,CDCl3,7.26,1,0.345071133974037
245,1,daDD`Fx@aJU{BiYh@@,S1(C=C(C=C1)C(O)=O),0.018314106258389362,0.2189263794081897,3.376892352817848,["OH"],1,["O"],0.19444444444444445,DMSO,2.5,1,2.782578377139451
247,1,dcmH`FGPBLdTRaTITLuJtsP@@,N2(C=C(C(C1(=CC=CS1))=N2)C=O),0.0037891254327728774,0.16912731829558983,7.707021542983007,["NH"],1,["N"],0.4,CDCl3,7.26,1,1.7878322764539205
250,1,gOxHF@aJU|ZVh@,S1(C=C(C=C1)CN),0.007578250865540426,0.8843934594674235,3.8953710162019055,["NH2"],2,["N"],0.21052631578947367,CDCl3,7.26,1,4.729177801944561
