fileNumber,from1,to1,from2,to2
2,12.52699875205208,13.187569619164556,2.9562994297803544,3.760857063338563
6,6.771948740581908,7.820904964554533,3.131862241498708,3.481093302219029
10,11.423347585604104,12.31442358320994,2.7727742225893035,3.634800258544527
17,11.089657171222257,11.664341195192002,3.071236234574384,3.5884518561475183
21,11.434467585604104,12.354593544861157,3.0137678321773693,3.7324386225927855
31,10.687378354443435,11.147125573619231,3.128704636971399,3.5600334154017417
32,13.114944715036511,14.261155158448696,3.05481669103238,3.914316643365757
34,2.029226740562576,2.266047080110714,,
37,3.4545064955613736,3.983089493432818,,
38,3.532246495561427,3.83411348837212,,
39,5.189988872399232,5.438808109151317,,
40,3.390785812738005,3.7337016644037098,,
41,3.237326232710812,3.64844634216638,,
42,12.160085105979087,12.8282342239571,3.260060985307433,3.442570526985865
43,1.752620583970263,1.964180087300008,3.5884518561475183,3.9212633733258353
46,8.292651080934345,8.572414842053682,,
50,3.183646955746567,3.489303073990031,,
52,11.943473435405878,12.040727654846911,,
56,9.94218368599915,10.18784531822358,9.295506278806824,9.522853804772875
57,6.487764333123942,6.784579158691151,3.296689197824212,3.421098816200167
61,12.54215525378315,13.910661055917696,2.9853493914315927,3.808852652153652
68,11.434467585604104,11.684549864166762,3.231642544561657,3.448885736040482
72,2.0153332806424182,2.293202479045567,,
73,10.290151704908304,10.454347140328233,3.2594294644019715,3.412257523523704
75,6.062119242842456,6.202316883855052,,
86,1.054158462529375,1.5682164795753812,,
93,11.905582181078202,13.433231251388984,3.260060985307433,3.730544059876401
98,1.4519582670585076,1.8517110002159056,,
103,2.292570958140105,2.43150555734168,,
105,1.4261242758464483,1.5858990649283151,,
108,12.096301494527502,12.924225401587211,3.023240645759295,3.755804896094869
112,12.6375149105078,13.337871594664335,3.0870242572109268,3.692021284643237
116,12.892017835408687,13.337871594664335,3.023240645759295,3.6282376731916055
119,12.6375149105078,13.783725353919984,3.1103905307130097,3.693284326454161
124,11.810222524353552,12.542786774688611,3.1148111770512417,3.544876913670661
125,1.1804626436217598,1.5164317653275037,,
128,2.060171264930199,2.268573163732561,3.0807090481563097,4.100615310477029
133,4.034271622327786,4.296984319000039,,
134,1.1419398683885824,1.536640434302285,,
138,11.428152376549493,14.86678370678604,,
144,12.574371299056214,14.166435501724044,2.737170154679683,4.137883522993835
146,1.7905118382979786,2.2180514912956246,2.9386168444274268,3.5183530356412693
148,13.394495206115923,14.508498083349584,2.8569373775829425,4.034723866269041
153,2.10500924921798,2.230050388499397,2.894410381045108,3.599819232445829
154,12.383011985606911,13.433231251388984,3.118600302484012,3.755804896094869
160,5.148940013544192,5.743201185584072,3.159017640433561,3.4653052795824864
165,12.77834407242566,13.281666234078283,3.243641441765429,3.479198739502644
170,12.383011985606911,13.401655206115922,3.085761215400004,3.726754934443631
174,1.1880408944873029,1.8220878835710748,,
181,10.982298617293845,12.000941837802852,,
184,12.4467955970585,14.356514815173345,2.768737720858229,4.23323470062408
196,13.147152281215035,14.452505992803456,2.800313766131314,4.169451089172403
198,12.860441790135624,14.102011890272458,2.864097377582946,3.81895698664104
200,12.54215525378315,13.719941742468396,2.832521332309861,4.010307820995942
205,13.114944715036511,14.452505992803456,,
209,3.651603946693689,4.1404011275211445,,
210,1.1893039362982267,1.686310888896761,,
211,12.669722476686324,13.624582085743748,2.9922961213916714,3.765277709676795
218,2.521787419658867,2.661353539765903,,
219,12.988009013038798,14.165795501724045,2.9916646004862097,3.9149481642712174
223,1.5669534377644574,1.7191499759807811,,
228,0.8236533320357726,1.4936970127308742,,
229,12.4467955970585,13.815301399193046,3.050396044694148,3.617501817798757
