filenameNumber,labile,moleculeID,smiles,containsAromaticSystem,labileProtonType,solvent,solventShift,machineFrequency
61,1,f`q`c@EN|BHIDRBLbbbfTJrgAZMADDuLH@@,S2(C=C(N=C2(C1(=C(C(=CC=C1)Cl)Cl)))C(=O)O),1,OH,DMSO,2.5,250.131544655141
68,1,f`q`b@FN|@HrQQ[QQQVXiKULuLtu@@@,N1(C(C)=C(C(O)=O)C=C1C)(CC2(=CC=CS2)),1,OH,DMSO,2.5,250.131544655141
72,1,didH@@RYWjZjjh@@,C1(CCC(O)CC1)(C)(C),0,OH,CDCl3,7.26,250.131544655141
73,1,dknD`LxPBLdTRLrdJjefjh@@,N(C1(=CC=CS1))C(OC(C)(C)C)=O,1,NH,DMSO,2.5,250.131544655141
75,1,fdy`a@KN|CDLDYEDeeEDeJjLTZ@BejZb@@,C=1(C(=CSC=1N)C=2(C=CC(Br)=CC=2))(C(=O)OCC),1,NH2,CDCl3,7.26,250.131544655141
86,1,dcNHpMhIAICICHiCDhmpuTuT`@,O1(C(C(F)(F)F)=C(CN)C=C1C),1,NH2,CDCl3,7.26,250.131544655141
93,1,dclL@@QdfyeXUgV``bH@@,C=1(C(=O)O)(C2(=C(C=CC=1)CCO2)),1,OH,DMSO,2.5,250.131544655141
98,1,difH@ACIEEE\jfZh@@,O1(C(C)=CC(=C1(C))CN),1,NH2,CDCl3,7.26,250.131544655141
103,1,dclL@@[\dTRbJuLLtE@U@@@,C12(=C(OCCO1)C=CC(=C2)CO),1,OH,CDCl3,7.26,250.131544655141
105,1,dcnD@MAldTRbJuLLtE@U@@@,C12(=C(OCCO1)C=CC(=C2)CN),1,NH2,CDCl3,7.26,250.131544655141
108,1,f`qPb@NB]xDPdrnrwuFJu@ATmLP@@,N1(C(=C(C=N1)C(O)=O)C)(C=2(C=CC(=CC=2)Cl)),1,OH,DMSO,2.5,250.131544655141
112,1,dg|B`IWSBPRYVUeicn@BijH@@,C2(=C1(C(COCO1)=CC(=C2)F))(C(O)=O),1,OH,DMSO,2.5,250.131544655141
